2022-07-31 08:20:22 error: [GET] /api/auth/refresh-session >> StatusCode:: 401, Message:: Wrong authentication token
2022-07-31 09:39:37 error: [POST] /api/products >> StatusCode:: 401, Message:: Wrong authentication token
2022-07-31 09:39:45 error: [POST] /api/products >> StatusCode:: 401, Message:: Wrong authentication token
2022-07-31 09:40:00 error: [POST] /api/auth/sign-out >> StatusCode:: 400, Message:: each value in reason must be a valid enum value
2022-07-31 09:40:24 error: [POST] /api/products >> StatusCode:: 401, Message:: Wrong authentication token
2022-07-31 09:41:03 error: [POST] /api/products >> StatusCode:: 401, Message:: Wrong authentication token
2022-07-31 09:41:39 error: [POST] /api/products >> StatusCode:: 400, Message:: property description should not exist, code must be a string, price must be a number conforming to the specified constraints
2022-07-31 09:58:42 error: [POST] /api/products >> StatusCode:: 400, Message:: property description should not exist
2022-07-31 10:49:01 error: [POST] /api/auth/sign-out >> StatusCode:: 400, Message:: each value in reason must be a valid enum value
2022-07-31 15:51:02 error: [GET] /api/auth/refresh-session >> StatusCode:: 401, Message:: Wrong authentication token
